W0,Wf_ratio,Wf,variance_raw_peak,variance_smoothed_peak,decay_break,consensus_epsilon,accepted_qubits_median
0.12,0.5,0.06,0.1,0.0845,0.08,0.08225,48.0
0.12,0.6666666666666666,0.07999999999999999,0.1,0.08270000000000001,0.13,0.10635,48.0
0.12,0.8,0.096,0.1,0.08170000000000001,0.07,0.07585,48.0
0.15,0.5,0.075,0.09,0.0762,0.13,0.1031,46.0
0.15,0.6666666666666666,0.09999999999999999,0.09,0.0755,0.08,0.07775,46.0
0.15,0.8,0.12,0.09,0.07400000000000001,0.09,0.082,46.0
0.18,0.5,0.09,0.09,0.08030000000000001,0.07,0.07515000000000001,43.0
0.18,0.6666666666666666,0.12,0.09,0.0795,0.06,0.06975,43.0
0.18,0.8,0.144,0.09,0.0786,0.06,0.0693,43.0
