time_idx,time_value,source_dataset,scale_idx,block_factor,grid_nz,grid_ny,grid_nx,spacing,boundary_margin_cells,min_object_voxels,kinetic_energy_local,divergence_mean,divergence_rms,q_mean,q_rms,q_positive_fraction,enstrophy_mean,strain_sq_mean,helicity_mean,q_threshold,raw_component_count,kept_component_count,discarded_small_or_boundary,touching_component_count,object_count,global_ref_time,global_ref_energy,global_ref_Re_lambda,local_to_global_energy_ratio
4,1.008,Velocity_0505,2,4,64,64,64,0.02454376220703125,4,2,0.5339784507087277,-0.0005141718414107549,1.4275816369506196,-0.2094264375477027,76.67447276540457,0.39129122631195334,91.82329658018119,92.24283100046935,-0.21067807364845978,115.01170914810686,508,198,310,177,198,1.0,0.6912138,433.4196,0.7725228441745922
4,1.008,Velocity_0505,3,8,32,32,32,0.0490875244140625,2,2,0.5164159975836176,-0.0019719546038230455,1.2375686063498388,-0.22984422864831078,30.078902432178033,0.39741253644314867,38.30961303161497,38.772824609996995,-0.21598905274125121,45.118353648267046,111,26,85,61,26,1.0,0.6912138,433.4196,0.7471147097809934
4,1.008,Velocity_0505,4,16,16,16,16,0.098175048828125,1,2,0.4851117568771066,-0.0032108633822432934,0.8091841406211316,-0.25430860012055595,12.531282764456568,0.38957725947521865,15.004384916993917,15.513614872736591,-0.242681715465368,18.79692414668485,21,3,18,17,3,1.0,0.6912138,433.4196,0.7018259138881582
5,1.01,Velocity_0506,0,1,256,256,256,0.0061359405517578125,16,64,0.5441285125141817,-8.386785471882392e-06,0.6498991677216621,-0.21961261614012706,248.34107917874684,0.3689747802022595,242.5293026153158,242.96852784841528,-0.2192171024725102,372.51161876812023,2544,444,2100,596,444,1.0,0.6912138,433.4196,0.7872072468955071
5,1.01,Velocity_0506,1,2,128,128,128,0.012271881103515625,8,8,0.5416928392727836,-0.00010187196594750345,1.1546304355464636,-0.21330347068002728,163.03516779724558,0.37523061680029157,171.74639242389466,172.1730403331449,-0.21623329481801248,244.55275169586838,1469,377,1092,380,377,1.0,0.6912138,433.4196,0.7836834844338808
5,1.01,Velocity_0506,2,4,64,64,64,0.02454376220703125,4,2,0.5342551887838738,-0.000505735935233295,1.4280272864239785,-0.20496910945729746,76.698976418632,0.39145066508746357,91.83354308823601,92.24417260342173,-0.21203743015967677,115.048464627948,513,206,307,178,206,1.0,0.6912138,433.4196,0.7729232095537933
5,1.01,Velocity_0506,3,8,32,32,32,0.0490875244140625,2,2,0.516693326418074,-0.0019630691360372713,1.239099063941145,-0.22791968676643942,30.091801135604673,0.39723032069970843,38.317832774877736,38.77718827520218,-0.21841809462443498,45.13770170340701,110,27,83,60,27,1.0,0.6912138,433.4196,0.747515929829633
5,1.01,Velocity_0506,4,16,16,16,16,0.098175048828125,1,2,0.48541424973995584,-0.003247229810722672,0.8099585670929932,-0.25296972171911214,12.530640377252404,0.3903061224489796,15.01241148061882,15.518907412473904,-0.2446077968334676,18.795960565878605,20,3,17,16,3,1.0,0.6912138,433.4196,0.7022635395010283
6,1.012,Velocity_0507,0,1,256,256,256,0.0061359405517578125,16,64,0.544402671325836,-8.464824123812982e-06,0.6495153111426812,-0.21419522821399556,248.29876930517287,0.36892442174972667,242.51349498228666,242.94188572768562,-0.21994710372521423,372.4481539577593,2555,440,2115,608,440,1.02,0.6915988,433.606,0.7871654365592248
6,1.012,Velocity_0507,1,2,128,128,128,0.012271881103515625,8,8,0.5419678717465202,-9.935430033408963e-05,1.1551911929692136,-0.2078570119161464,162.96732666180537,0.3752982359238338,171.75465727627088,172.17040292967928,-0.2171814562172397,244.45098999270806,1445,374,1071,380,374,1.02,0.6915988,433.606,0.7836448989595126
6,1.012,Velocity_0507,2,4,64,64,64,0.02454376220703125,4,2,0.5345309684124827,-0.0004964327667511452,1.4284928466280866,-0.20087820197624442,76.73194786804406,0.391399416909621,91.84541259735842,92.2479371641041,-0.2135575761161653,115.09792180206608,499,202,297,174,202,1.02,0.6915988,433.606,0.7728916944512957
6,1.012,Velocity_0507,3,8,32,32,32,0.0490875244140625,2,2,0.516970926888826,-0.0019523147224411626,1.2408296635340204,-0.22599594744666324,30.105617256940054,0.3975036443148688,38.32698934990828,38.78241725934197,-0.22088933121485965,45.15842588541008,111,25,86,60,25,1.02,0.6915988,433.606,0.7475011912814568
6,1.012,Velocity_0507,4,16,16,16,16,0.098175048828125,1,2,0.4857161200791608,-0.003277320651006247,0.8108750543482666,-0.2515808105273254,12.52967342617731,0.39176384839650147,15.02077511976997,15.524427928834198,-0.2464628314019694,18.794510139265963,20,3,17,16,3,1.02,0.6915988,433.606,0.7023090845142601
7,1.014,Velocity_0508,0,1,256,256,256,0.0061359405517578125,16,64,0.5446744298462578,-7.567585069576718e-06,0.6491471683000473,-0.20954642441522522,248.28500628628927,0.36895965487199345,242.49948406448152,242.9185769134638,-0.2207816124869154,372.42750942943394,2533,444,2089,604,444,1.02,0.6915988,433.606,0.7875583789998737
7,1.014,Velocity_0508,1,2,128,128,128,0.012271881103515625,8,8,0.5422400377904019,-9.595903836496784e-05,1.1549327846424235,-0.2032395731686225,162.9117026357895,0.3753224364522595,171.7605566412336,172.16707463245947,-0.21821657025695856,244.36755395368425,1445,387,1058,379,387,1.02,0.6915988,433.606,0.7840384306485232
7,1.014,Velocity_0508,2,4,64,64,64,0.02454376220703125,4,2,0.5348052044607515,-0.00048711003278676215,1.4286049276937116,-0.19734798069949508,76.76322150075137,0.3913424744897959,91.85824144900067,92.25368319687016,-0.21522082174642732,115.14483225112706,499,188,311,179,188,1.02,0.6915988,433.606,0.773288219211415
7,1.014,Velocity_0508,3,8,32,32,32,0.0490875244140625,2,2,0.5172482341444249,-0.0019383617247894858,1.242560453445924,-0.22400959895525954,30.120580244870272,0.39964467930029157,38.337098624339866,38.78835457945433,-0.22337561850743193,45.18087036730541,118,29,89,63,29,1.02,0.6915988,433.606,0.7479021567770576
7,1.014,Velocity_0508,4,16,16,16,16,0.098175048828125,1,2,0.48601680292142513,-0.0033002028366653983,0.8119109692352763,-0.2501388639225231,12.528445197067557,0.39067055393586003,15.029440426533776,15.530135721033412,-0.24824405247725698,18.792667795601336,19,3,16,15,3,1.02,0.6915988,433.606,0.7027438493551827
8,1.016,Velocity_0509,0,1,256,256,256,0.0061359405517578125,16,64,0.5449436870374667,-5.635662269640598e-06,0.6487773030247935,-0.20578157958715337,248.2828777952221,0.3689034242324162,242.48777048795665,242.89933365452245,-0.22171880406061528,372.42431669283314,2528,440,2088,600,440,1.02,0.6915988,433.606,0.7879477047060618
8,1.016,Velocity_0509,1,2,128,128,128,0.012271881103515625,8,8,0.5425092460744237,-9.169551833764361e-05,1.1538579463043517,-0.19932805737783907,162.8767897162047,0.37526905293367346,171.76516735141473,172.16387293239094,-0.2193732997154909,244.31518457430707,1480,395,1085,378,395,1.02,0.6915988,433.606,0.7844276856385867
8,1.016,Velocity_0509,2,4,64,64,64,0.02454376220703125,4,2,0.5350769479326494,-0.00047883295498886105,1.4282801386659354,-0.1945077244536489,76.78364515313113,0.3913026147959184,91.8707145690013,92.2604656431192,-0.21702301582020697,115.17546772969669,498,190,308,172,190,1.02,0.6915988,433.606,0.7736811398930267
8,1.016,Velocity_0509,3,8,32,32,32,0.0490875244140625,2,2,0.5175244135962117,-0.0019203498960601957,1.2440929875554114,-0.22186762122839976,30.137096267975082,0.4005102040816326,38.348133009152384,38.794877641000745,-0.22585497641390015,45.20564440196262,120,30,90,63,30,1.02,0.6915988,433.606,0.748301491552923
8,1.016,Velocity_0509,4,16,16,16,16,0.098175048828125,1,2,0.48631548482949255,-0.003315612254257018,0.8130350191119124,-0.24864978830122358,12.527022729808758,0.38884839650145775,15.038334128057242,15.535979419968392,-0.2499521375890365,18.790534094713138,20,4,16,15,4,1.02,0.6915988,433.606,0.703175720995312
9,1.018,Velocity_0510,0,1,256,256,256,0.0061359405517578125,16,64,0.5452106442973473,-3.628802659314877e-06,0.6484223103551946,-0.2026627652534452,248.31693907063735,0.36897148821861336,242.47862251969218,242.88394806632215,-0.22275182900503115,372.47540860595603,2529,437,2092,610,437,1.02,0.6915988,433.606,0.7883337048840272
9,1.018,Velocity_0510,1,2,128,128,128,0.012271881103515625,8,8,0.5427764933475638,-8.776838882415174e-05,1.1534707878090829,-0.19574094574681591,162.87212054392486,0.3752448524052478,171.77177648443637,172.16329390246673,-0.2206738386432448,244.30818081588728,1474,395,1079,376,395,1.02,0.6915988,433.606,0.7848141051539763
9,1.018,Velocity_0510,2,4,64,64,64,0.02454376220703125,4,2,0.5353458554773126,-0.00047247818409089235,1.4277428665400043,-0.19233419267641536,76.79136015572122,0.3921681395772595,91.88178567968359,92.26709139245204,-0.21897229831390255,115.18704023358183,520,200,320,179,200,1.02,0.6915988,433.606,0.7740699600365308
9,1.018,Velocity_0510,3,8,32,32,32,0.0490875244140625,2,2,0.5177988290256179,-0.0018969998057641812,1.2452544093865958,-0.2194857917302507,30.15554932078478,0.3999180029154519,38.36004148552187,38.802034841945435,-0.22831093067038014,45.233323981177165,117,31,86,61,31,1.02,0.6915988,433.606,0.7486982756847148
9,1.018,Velocity_0510,4,16,16,16,16,0.098175048828125,1,2,0.4866117218811923,-0.0033229170706524968,0.8142162361090127,-0.24712778682584274,12.525436810497636,0.3881195335276968,15.047368972159042,15.541909642908559,-0.25159264578240986,18.788155215746453,21,4,17,15,4,1.02,0.6915988,433.606,0.7036040575564797
