node_id,time_idx,time_value,scale_idx,scale_value,object_id,stitch_defect,enstrophy_mean,enstrophy_integral,q_mean,q_max,strain_sq_mean_proxy,cx,cy,cz,physical_volume,equiv_radius
t05_s01_o000304,5,0.01,1,0.012271881103515625,o000304,1.0,1098.634783935547,0.020304241110380285,367.1853515625,584.0612182617188,364.26408081054694,0.6657495498657227,0.9222318649291993,0.9075056076049806,1.8481338300291306e-05,0.01640142576114291
t03_s01_o000356,3,0.006,1,0.012271881103515625,o000356,0.9811132729305831,1014.055398123605,0.052475082430284994,364.6744144984654,602.575439453125,284.70656912667414,0.8252840042114258,1.252608435494559,1.1285747800554546,5.1747747240815656e-05,0.023117149394111778
t07_s00_o000017,7,0.014,0,0.0061359405517578125,o000017,0.9637558670881651,2077.362080078125,0.08398344363088896,702.6832693917411,1533.5863037109375,671.9955412946429,0.9141850171770368,0.8793679373604911,0.16858058384486607,4.042792753188723e-05,0.02129107663167083
t04_s00_o000275,4,0.008,0,0.0061359405517578125,o000275,0.9597675829383461,1321.1834061566522,0.02075465186302542,551.2957202686983,884.574462890625,218.59196561925546,1.2379260063171387,0.8010109452640308,0.7939726605134853,1.570913755524761e-05,0.01553654966809341
t03_s01_o000236,3,0.006,1,0.012271881103515625,o000236,0.9380482895007877,1547.5797370542448,2.5483798098453248,611.812234041533,5189.7744140625,323.95526897117884,0.8696335633060613,1.2613971840786746,1.0176261137631606,0.0016466872425559553,0.07325560124864856
t08_s01_o000109,8,0.016,1,0.012271881103515625,o000109,0.9354614627961294,850.6790278508113,0.04087638593655181,333.3033699622521,491.3821105957031,184.07228792630713,1.1311370409451997,0.1701543514545147,0.44532768542949974,4.8051479580757395e-05,0.022553089939775412
t01_s01_o000316,1,0.002,1,0.012271881103515625,o000316,0.9289911704818995,1128.0579643249512,0.10007050013293134,422.7488505045573,719.4744262695312,282.56026331583655,0.6706071694691976,1.2205408414204915,1.010640541712443,8.871042384139827e-05,0.027666996488939073
t01_s00_o000382,1,0.002,0,0.0061359405517578125,o000382,0.9287063022602898,1463.893514811198,0.025363791827651486,589.6739705403646,938.5042724609375,284.54557373046873,1.302946523030599,1.2239974212646483,1.1022603607177734,1.73262546565231e-05,0.016052352745332944
t00_s00_o000250,0,0.0,0,0.0061359405517578125,o000250,0.9234480375001893,1501.5687322930976,0.031566762184512424,607.5729715535929,1383.5987548828125,286.4227891859118,0.7441345047164749,0.3599976550091754,0.767869131905692,2.102252231658136e-05,0.017121116048210493
t02_s00_o000221,2,0.004,0,0.0061359405517578125,o000221,0.9232990756757674,1703.0252839187096,0.11409392572193604,750.678121211611,1658.0408935546875,201.6690414954876,0.5655221347151131,0.5604441149481412,0.7019515991210938,6.699485133855598e-05,0.025195188165598334
t00_s00_o000290,0,0.0,0,0.0061359405517578125,o000290,0.9218515226081788,2117.2657059733074,0.07336856959443336,726.5879150390625,2083.722900390625,664.0898758951823,0.8525684865315755,0.9106553904215494,0.8712217458089193,3.46525093130462e-05,0.020224697124182733
t07_s00_o000172,7,0.014,0,0.0061359405517578125,o000172,0.9066587523247589,2062.680247333233,0.15486693404119448,846.6665960223858,1945.9346923828125,369.34705528846166,0.6365141531137319,0.604078627366286,0.514097419151893,7.508043684493343e-05,0.026170542606981564
t00_s01_o000286,0,0.0,1,0.012271881103515625,o000286,0.90171531943233,975.9667286592371,0.0613263823594119,376.6869201660156,652.5457153320312,222.59288832720586,0.758149595821605,0.7736699160407572,0.904329356025247,6.283655022099044e-05,0.02466273528708766
t05_s00_o000071,5,0.01,0,0.0061359405517578125,o000071,0.8993929629763737,1540.8418711786685,0.032748342871782875,661.0773776510488,1284.3685302734375,218.68711587657094,0.544031163920527,0.4042384313500446,0.29612582662831183,2.1253539045335e-05,0.01718360242706976
t00_s01_o000358,0,0.0,1,0.012271881103515625,o000358,0.8984336359756734,1053.2299382136418,0.05060925686991518,378.82913853571966,686.6507568359375,295.5716611422025,0.8139561139620268,1.2595197971050556,1.127833072955792,4.8051479580757395e-05,0.022553089939775412
t07_s00_o000193,7,0.014,0,0.0061359405517578125,o000193,0.8898974824359597,2139.094827868275,0.09586833778782469,741.9279108735703,2473.475830078125,655.2390061211343,1.0551920035450728,1.0628777435145427,0.6085334856485584,4.4817245378206416e-05,0.022035294041606483
t01_s00_o000322,1,0.002,0,0.0061359405517578125,o000322,0.8822080378774186,1482.005356695713,0.06676176575234732,577.9765981820914,1199.293701171875,326.05216033153033,0.8222160339355469,0.41664609664525737,0.9663949037209536,4.504826210696006e-05,0.02207309050339945
t02_s01_o000281,2,0.004,1,0.012271881103515625,o000281,0.8679021896419592,1153.0371534559463,0.15342962188193454,416.3561715020074,911.0887451171875,320.3248104519315,0.6098443137274848,0.8336357010735406,0.9191979832119411,0.0001330656357620974,0.03167080492956158
t00_s01_o000005,0,0.0,1,0.012271881103515625,o000005,0.8581003551219565,955.6172698974609,0.07064434420230303,382.3117359161377,722.3843383789062,190.9937980651855,0.45927515029907223,0.8231364250183106,0.18622579574584963,7.392535320116522e-05,0.02603564050701658
t01_s00_o000398,1,0.002,0,0.0061359405517578125,o000398,0.8489791069531383,1721.9238158478133,0.06921601803542599,596.240723533192,1067.4490966796875,529.4423687814294,0.8144226841542912,1.2566688362209275,1.1258040351429206,4.019691080313359e-05,0.021250444707289692
