object_id,object_name,supernova_type,band,phase_name,stage_index,alpha,alpha_radius,gap_base,duration_base,slope_base,curvature_base,gap_alpha,duration_alpha,slope_alpha,curvature_alpha,gap_response_norm,duration_response_norm,slope_response_norm,curvature_response_norm,structural_response,phase_persistence_score,boundary_role,support_regime_proxy,alpha_status,instability_flag
B_SN1987A,SN1987A,II Pec,B,rise,1,1.45,0.45,1.13,68.27,0.05387142347,2.037467123,1.6385,98.9915,0.07811356403,2.954327328,0.4460526316,0.3887813212,0.7012138631,1.069020765,0.5605906432,0.6407830294,boundary_response_rise,shock_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,rise,1,1.5,0.5,1.13,68.27,0.05387142347,2.037467123,1.695,102.405,0.0808071352,3.056200684,0.4956140351,0.4319792458,0.7791265146,1.18780085,0.6228784924,0.6161890768,boundary_response_rise,shock_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,peak,2,0.5,0.5,0.042,2.04,0.03658088234,-0.1811593945,0.021,1.02,0.01829044117,-0.09057969725,0.01842105263,0.01290812453,0.529058516,0.1056121497,0.1064414583,0.9037983822,maximum_observable_response,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,peak,2,0.55,0.45,0.042,2.04,0.03658088234,-0.1811593945,0.0231,1.122,0.02011948529,-0.09963766697,0.01657894737,0.01161731207,0.4761526644,0.0950509347,0.09579731244,0.9125775257,maximum_observable_response,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,peak,2,0.6,0.4,0.042,2.04,0.03658088234,-0.1811593945,0.0252,1.224,0.0219485294,-0.1086956367,0.01473684211,0.01032649962,0.4232468128,0.08448971973,0.08515316661,0.9215288964,maximum_observable_response,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,peak,2,0.65,0.35,0.042,2.04,0.03658088234,-0.1811593945,0.0273,1.326,0.02377757352,-0.1177536064,0.01289473684,0.009035687168,0.3703409612,0.07392850476,0.07450902079,0.9306576126,maximum_observable_response,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,peak,2,0.7,0.3,0.042,2.04,0.03658088234,-0.1811593945,0.0294,1.428,0.02560661764,-0.1268115761,0.01105263158,0.007744874715,0.3174351096,0.0633672898,0.06386487496,0.9399689975,maximum_observable_response,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,peak,2,0.75,0.25,0.042,2.04,0.03658088234,-0.1811593945,0.0315,1.53,0.02743566176,-0.1358695459,0.009210526316,0.006454062263,0.264529258,0.05280607483,0.05322072913,0.9494685894,maximum_observable_response,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,peak,2,0.8,0.2,0.042,2.04,0.03658088234,-0.1811593945,0.0336,1.632,0.02926470587,-0.1449275156,0.007368421053,0.00516324981,0.2116234064,0.04224485987,0.04257658331,0.9591621527,maximum_observable_response,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,peak,2,0.85,0.15,0.042,2.04,0.03658088234,-0.1811593945,0.0357,1.734,0.03109374999,-0.1539854853,0.005526315789,0.003872437358,0.1587175548,0.0316836449,0.03193243748,0.9690556898,maximum_observable_response,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,peak,2,0.9,0.1,0.042,2.04,0.03658088234,-0.1811593945,0.0378,1.836,0.03292279411,-0.163043455,0.003684210526,0.002581624905,0.1058117032,0.02112242993,0.02128829165,0.9791554531,maximum_observable_response,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,peak,2,0.95,0.05,0.042,2.04,0.03658088234,-0.1811593945,0.0399,1.938,0.03475183822,-0.1721014248,0.001842105263,0.001290812453,0.0529058516,0.01056121497,0.01064414583,0.9894679588,maximum_observable_response,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,peak,2,1,0,0.042,2.04,0.03658088234,-0.1811593945,0.042,2.04,0.03658088234,-0.1811593945,0,0,0,0,0,1,maximum_observable_response,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,peak,2,1.05,0.05,0.042,2.04,0.03658088234,-0.1811593945,0.0441,2.142,0.03840992646,-0.1902173642,0.001842105263,0.001290812453,0.0529058516,0.01056121497,0.01064414583,0.9894679588,maximum_observable_response,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,peak,2,1.1,0.1,0.042,2.04,0.03658088234,-0.1811593945,0.0462,2.244,0.04023897057,-0.1992753339,0.003684210526,0.002581624905,0.1058117032,0.02112242993,0.02128829165,0.9791554531,maximum_observable_response,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,peak,2,1.15,0.15,0.042,2.04,0.03658088234,-0.1811593945,0.0483,2.346,0.04206801469,-0.2083333037,0.005526315789,0.003872437358,0.1587175548,0.0316836449,0.03193243748,0.9690556898,maximum_observable_response,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,peak,2,1.2,0.2,0.042,2.04,0.03658088234,-0.1811593945,0.0504,2.448,0.04389705881,-0.2173912734,0.007368421053,0.00516324981,0.2116234064,0.04224485987,0.04257658331,0.9591621527,maximum_observable_response,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,peak,2,1.25,0.25,0.042,2.04,0.03658088234,-0.1811593945,0.0525,2.55,0.04572610293,-0.2264492431,0.009210526316,0.006454062263,0.264529258,0.05280607483,0.05322072913,0.9494685894,maximum_observable_response,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,peak,2,1.3,0.3,0.042,2.04,0.03658088234,-0.1811593945,0.0546,2.652,0.04755514704,-0.2355072128,0.01105263158,0.007744874715,0.3174351096,0.0633672898,0.06386487496,0.9399689975,maximum_observable_response,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,peak,2,1.35,0.35,0.042,2.04,0.03658088234,-0.1811593945,0.0567,2.754,0.04938419116,-0.2445651826,0.01289473684,0.009035687168,0.3703409612,0.07392850476,0.07450902079,0.9306576126,maximum_observable_response,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,peak,2,1.4,0.4,0.042,2.04,0.03658088234,-0.1811593945,0.0588,2.856,0.05121323528,-0.2536231523,0.01473684211,0.01032649962,0.4232468128,0.08448971973,0.08515316661,0.9215288964,maximum_observable_response,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,peak,2,1.45,0.45,0.042,2.04,0.03658088234,-0.1811593945,0.0609,2.958,0.05304227939,-0.262681122,0.01657894737,0.01161731207,0.4761526644,0.0950509347,0.09579731244,0.9125775257,maximum_observable_response,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,peak,2,1.5,0.5,0.042,2.04,0.03658088234,-0.1811593945,0.063,3.06,0.05487132351,-0.2717390917,0.01842105263,0.01290812453,0.529058516,0.1056121497,0.1064414583,0.9037983822,maximum_observable_response,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,early_decline,3,0.5,0.5,0.96,31.9,0.01278349528,0.009163964396,0.48,15.95,0.00639174764,0.004581982198,0.4210526316,0.2018476335,0.1848839232,0.005342400166,0.2575092912,0.7952227526,post_boundary_relaxation,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,early_decline,3,0.55,0.45,0.96,31.9,0.01278349528,0.009163964396,0.528,17.545,0.007030922404,0.005040180418,0.3789473684,0.1816628702,0.1663955309,0.00480816015,0.2317583621,0.8118475431,post_boundary_relaxation,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,early_decline,3,0.6,0.4,0.96,31.9,0.01278349528,0.009163964396,0.576,19.14,0.007670097168,0.005498378638,0.3368421053,0.1614781068,0.1479071386,0.004273920133,0.206007433,0.8291822858,post_boundary_relaxation,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,early_decline,3,0.65,0.35,0.96,31.9,0.01278349528,0.009163964396,0.624,20.735,0.008309271932,0.005956576857,0.2947368421,0.1412933435,0.1294187463,0.003739680116,0.1802565038,0.8472734501,post_boundary_relaxation,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,early_decline,3,0.7,0.3,0.96,31.9,0.01278349528,0.009163964396,0.672,22.33,0.008948446696,0.006414775077,0.2526315789,0.1211085801,0.1109303539,0.0032054401,0.1545055747,0.8661716512,post_boundary_relaxation,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,early_decline,3,0.75,0.25,0.96,31.9,0.01278349528,0.009163964396,0.72,23.925,0.00958762146,0.006872973297,0.2105263158,0.1009238168,0.09244196162,0.002671200083,0.1287546456,0.8859321234,post_boundary_relaxation,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,early_decline,3,0.8,0.2,0.96,31.9,0.01278349528,0.009163964396,0.768,25.52,0.01022679622,0.007331171517,0.1684210526,0.0807390534,0.0739535693,0.002136960067,0.1030037165,0.9066152589,post_boundary_relaxation,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,early_decline,3,0.85,0.15,0.96,31.9,0.01278349528,0.009163964396,0.816,27.115,0.01086597099,0.007789369737,0.1263157895,0.06055429005,0.05546517697,0.00160272005,0.07725278736,0.9282872244,post_boundary_relaxation,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,early_decline,3,0.9,0.1,0.96,31.9,0.01278349528,0.009163964396,0.864,28.71,0.01150514575,0.008247567956,0.08421052632,0.0403695267,0.03697678465,0.001068480033,0.05150185824,0.9510206684,post_boundary_relaxation,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,early_decline,3,0.95,0.05,0.96,31.9,0.01278349528,0.009163964396,0.912,30.305,0.01214432052,0.008705766176,0.04210526316,0.02018476335,0.01848839232,0.0005342400166,0.02575092912,0.9748955342,post_boundary_relaxation,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,early_decline,3,1,0,0.96,31.9,0.01278349528,0.009163964396,0.96,31.9,0.01278349528,0.009163964396,0,0,0,0,0,1,post_boundary_relaxation,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,early_decline,3,1.05,0.05,0.96,31.9,0.01278349528,0.009163964396,1.008,33.495,0.01342267004,0.009622162616,0.04210526316,0.02018476335,0.01848839232,0.0005342400166,0.02575092912,0.9748955342,post_boundary_relaxation,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,early_decline,3,1.1,0.1,0.96,31.9,0.01278349528,0.009163964396,1.056,35.09,0.01406184481,0.01008036084,0.08421052632,0.0403695267,0.03697678465,0.001068480033,0.05150185824,0.9510206684,post_boundary_relaxation,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,early_decline,3,1.15,0.15,0.96,31.9,0.01278349528,0.009163964396,1.104,36.685,0.01470101957,0.01053855906,0.1263157895,0.06055429005,0.05546517697,0.00160272005,0.07725278736,0.9282872244,post_boundary_relaxation,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,early_decline,3,1.2,0.2,0.96,31.9,0.01278349528,0.009163964396,1.152,38.28,0.01534019434,0.01099675728,0.1684210526,0.0807390534,0.0739535693,0.002136960067,0.1030037165,0.9066152589,post_boundary_relaxation,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,early_decline,3,1.25,0.25,0.96,31.9,0.01278349528,0.009163964396,1.2,39.875,0.0159793691,0.0114549555,0.2105263158,0.1009238168,0.09244196162,0.002671200083,0.1287546456,0.8859321234,post_boundary_relaxation,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,early_decline,3,1.3,0.3,0.96,31.9,0.01278349528,0.009163964396,1.248,41.47,0.01661854386,0.01191315371,0.2526315789,0.1211085801,0.1109303539,0.0032054401,0.1545055747,0.8661716512,post_boundary_relaxation,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,early_decline,3,1.35,0.35,0.96,31.9,0.01278349528,0.009163964396,1.296,43.065,0.01725771863,0.01237135193,0.2947368421,0.1412933435,0.1294187463,0.003739680116,0.1802565038,0.8472734501,post_boundary_relaxation,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,early_decline,3,1.4,0.4,0.96,31.9,0.01278349528,0.009163964396,1.344,44.66,0.01789689339,0.01282955015,0.3368421053,0.1614781068,0.1479071386,0.004273920133,0.206007433,0.8291822858,post_boundary_relaxation,ejecta_cooling,valid,no
B_SN1987A,SN1987A,II Pec,B,early_decline,3,1.45,0.45,0.96,31.9,0.01278349528,0.009163964396,1.392,46.255,0.01853606816,0.01328774837,0.3789473684,0.1816628702,0.1663955309,0.00480816015,0.2317583621,0.8118475431,post_boundary_relaxation,ejecta_cooling,valid,no
