time,amplitude
8.45,-10000.0
8.475,-18525.0
8.5,-10488.0
8.525,-5940.0
8.55,-25310.0
8.575,-20699.0
8.6,-7295.0
8.625,-12746.0
8.65,-14596.0
8.675,-14303.0
8.7,-14900.0
8.725,-16550.0
8.75,-20706.0
8.775,-20700.0
8.8,-13743.0
8.825,-13674.0
8.85,-15664.0
8.875,-13496.0
8.9,-18162.0
8.925,-13081.0
8.95,-7379.0
8.975,-15954.0
9.0,-10719.0
9.025,-3981.0
9.05,-12056.0
9.075,-12306.0
9.1,-7293.0
9.125,-6697.0
9.15,-5810.0
9.175,-8950.0
9.2,-8366.0
9.225,2979.0
9.25,8905.0
9.275,4061.0
9.3,4473.0
9.325,11245.0
9.35,5610.0
9.375,1552.0
9.4,7346.0
9.425,10462.0
9.45,18156.0
9.475,18011.0
9.5,10775.0
9.525,14120.0
9.55,12243.0
9.575,11539.0
9.6,9113.0
9.625,-3975.0
9.65,4075.0
9.675,12871.0
9.7,4748.0
9.725,9024.0
9.75,13147.0
9.775,5020.0
9.8,5719.0
9.825,7759.0
9.85,7375.0
9.875,14162.0
9.9,9434.0
9.925,750.0
9.95,6959.0
9.975,13412.0
10.0,12048.0
10.025,11526.0
10.05,8349.0
10.075,3531.0
10.1,6106.0
10.125,8833.0
10.15,10352.0
10.175,13281.0
10.2,13173.0
10.225,7920.0
10.25,3154.0
10.275,2630.0
10.3,1463.0
10.325,2732.0
10.35,3885.0
10.375,1154.0
10.4,4254.0
10.425,5620.0
10.45,-914.0
10.475,-680.0
10.5,-96.0
10.525,-4702.0
10.55,-4712.0
10.575,1724.0
10.6,5835.0
10.625,-1682.0
10.65,-5168.0
10.675,-4870.0
10.7,-9910.0
10.725,-9808.0
10.75,-8556.0
10.775,-4594.0
10.8,-2622.0
10.825,-6920.0
10.85,-3093.0
10.875,-5589.0
10.9,-12238.0
10.925,-10609.0
10.95,-15098.0
10.975,-13553.0
11.0,-8848.0
11.025,-13273.0
11.05,-11469.0
11.075,-13112.0
11.1,-15840.0
11.125,-7902.0
11.15,-5048.0
11.175,-8364.0
11.2,-15087.0
11.225,-14484.0
11.25,-13577.0
11.275,-19777.0
11.3,-9361.0
11.325,-7152.0
11.35,-16526.0
11.375,-13607.0
11.4,-12241.0
11.425,-12163.0
11.45,-15537.0
11.475,-14925.0
11.5,-6496.0
11.525,-6894.0
11.55,-12516.0
11.575,-9597.0
11.6,-2717.0
11.625,-4619.0
11.65,-2553.0
11.675,-10.0
11.7,-4197.0
11.725,-4692.0
11.75,416.0
11.775,5428.0
11.8,1313.0
11.825,-1441.0
11.85,-1239.0
11.875,1652.0
11.9,4324.0
11.925,3306.0
11.95,10161.0
11.975,8026.0
12.0,3774.0
12.025,8656.0
12.05,10939.0
12.075,7652.0
12.1,-3427.0
12.125,1848.0
12.15,9535.0
12.175,5852.0
12.2,7436.0
12.225,5929.0
12.25,7255.0
12.275,8298.0
12.3,12758.0
12.325,18343.0
12.35,7448.0
12.375,-2374.0
12.4,1284.0
12.425,8140.0
12.45,4443.0
12.475,1772.0
12.5,9995.0
12.525,14133.0
12.55,15230.0
12.575,17289.0
12.6,19186.0
12.625,21785.0
12.65,23880.0
12.675,19355.0
12.7,8614.0
12.725,11281.0
12.75,19740.0
12.775,14403.0
12.8,8145.0
12.825,5458.0
12.85,6271.0
12.875,10170.0
12.9,10334.0
12.925,9062.0
12.95,8664.0
12.975,7655.0
13.0,4679.0
13.025,4610.0
13.05,-623.0
13.075,-5580.0
13.1,-3903.0
13.125,-8427.0
13.15,-6688.0
13.175,2690.0
13.2,-361.0
13.225,-11321.0
13.25,-10590.0
13.275,-4681.0
13.3,-2062.0
13.325,-6167.0
13.35,-12502.0
13.375,-6781.0
13.4,-10329.0
13.425,-15871.0
13.45,-6682.0
13.475,-3228.0
13.5,-8769.0
13.525,-19096.0
13.55,-20938.0
13.575,-15229.0
13.6,-15269.0
13.625,-11145.0
13.65,-9712.0
13.675,-16752.0
13.7,-19533.0
13.725,-23664.0
13.75,-26166.0
13.775,-24670.0
13.8,-24917.0
13.825,-16853.0
13.85,-7128.0
13.875,-5913.0
13.9,-10713.0
13.925,-8723.0
13.95,-539.0
13.975,-7100.0
14.0,-14074.0
14.025,-7536.0
14.05,-2042.0
14.075,-3281.0
14.1,-9337.0
14.125,-6838.0
14.15,2191.0
14.175,-1648.0
14.2,-4941.0
14.225,-3535.0
14.25,-2813.0
14.275,-81.0
14.3,-286.0
14.325,8491.0
14.35,12514.0
14.375,-640.0
14.4,-3756.0
14.425,7302.0
14.45,8237.0
14.475,-795.0
14.5,-740.0
14.525,5630.0
14.55,8281.0
14.575,7780.0
14.6,10336.0
14.625,10706.0
14.65,9834.0
14.675,12121.0
14.7,12271.0
14.725,12308.0
14.75,7980.0
14.775,2244.0
14.8,2593.0
14.825,5737.0
14.85,3984.0
14.875,4734.0
14.9,10942.0
14.925,6812.0
14.95,3772.0
14.975,8460.0
15.0,10650.0
15.025,11891.0
15.05,7194.0
15.075,-2732.0
15.1,-2977.0
15.125,1398.0
15.15,-2476.0
15.175,-5778.0
15.2,-2909.0
15.225,4702.0
15.25,7434.0
15.275,-1902.0
15.3,-10694.0
15.325,-13003.0
15.35,-6506.0
15.375,-3670.0
15.4,-10127.0
15.425,-9815.0
15.45,-9348.0
15.475,-11442.0
15.5,-11339.0
15.525,-5875.0
15.55,3553.0
15.575,4251.0
15.6,-6178.0
15.625,-9709.0
15.65,-982.0
15.675,-3702.0
15.7,-6106.0
15.725,-8444.0
15.75,-17655.0
15.775,-10557.0
15.8,-7382.0
15.825,-10061.0
15.85,-9220.0
15.875,-9639.0
