sample_id,dataset,snapshot,role,scale_idx,block_factor,grid_nz,grid_ny,grid_nx,spacing,boundary_margin_cells,min_object_voxels,kinetic_energy_local,divergence_mean,divergence_rms,q_mean,q_rms,q_positive_fraction,enstrophy_mean,strain_sq_mean,helicity_mean,q_threshold,raw_component_count,kept_component_count,discarded_small_or_boundary,touching_component_count,object_count,elapsed_seconds
i8192_s05,isotropic8192,5,PRESPECIFIED_LOW_RE_CONTRAST,0,1,256,256,256,0.0007669925689697266,16,64,1.7010179760933015,0.00015404575331600705,0.12430881267253467,-22.197370237450883,1857.327965753319,0.3697534677933674,2678.3230100500687,2722.7177505300247,9.570539857072925,2785.9919486299787,68,16,52,48,16,6.70910906791687
i8192_s05,isotropic8192,5,PRESPECIFIED_LOW_RE_CONTRAST,1,2,128,128,128,0.0015339851379394531,8,8,1.7006193410374328,0.0006167407010793238,0.46011904151627603,-22.060546205626927,1805.7766677683087,0.3699883552751458,2597.653781927479,2641.774874278108,9.554479767856016,2708.665001652463,66,15,51,47,15,1.1282553672790527
i8192_s05,isotropic8192,5,PRESPECIFIED_LOW_RE_CONTRAST,2,4,64,64,64,0.0030679702758789062,4,2,1.6990565784618874,0.002431286070163653,1.4348025378002478,-21.594063628828025,1632.3896392276224,0.3706211279154519,2339.119271523427,2382.307398829859,9.496507495774967,2448.584458841434,57,11,46,43,11,0.344494104385376
i8192_s05,isotropic8192,5,PRESPECIFIED_LOW_RE_CONTRAST,3,8,32,32,32,0.0061359405517578125,2,2,1.6932383196962495,0.009194046684368391,3.1484618478099997,-20.454532805589263,1215.9809953239474,0.3739067055393586,1754.9847777900245,1795.8938431936172,9.334965780215153,1823.971492985921,36,6,30,28,6,0.22380924224853516
i8192_s05,isotropic8192,5,PRESPECIFIED_LOW_RE_CONTRAST,4,16,16,16,16,0.012271881103515625,1,2,1.6741996730762703,0.030840358770189064,4.363277982632893,-19.398317316813127,655.4802331243402,0.3946793002915452,974.7538261950538,1013.5504619984863,9.113552399139863,983.2203496865103,16,2,14,12,2,0.19120550155639648
