# UNNS Metallic / Glass Structural Ladder
# Oxide: Se
# GlassID: 25479

# index wt_pct spectral_x spectral_y
0 31.399999618530 2.400000095367 4.389999866486
1 31.500000000000 2.397000074387 4.380000114441
2 41.270000457764 2.463999986649 4.440000057220
3 41.389999389648 2.460999965668 4.429999828339
4 41.520000457764 2.457999944687 4.420000076294
5 41.639999389648 2.454999923706 4.409999847412
6 41.770000457764 2.451999902725 4.400000095367
7 51.470001220703 2.516000032425 4.449999809265
8 51.619998931885 2.513000011444 4.440000057220
9 51.779998779297 2.509999990463 4.429999828339
10 51.939998626709 2.506999969482 4.420000076294
11 56.299999237060 2.546999931335 4.469999790192
12 59.880001068115 2.552999973297 4.440000057220
13 61.250000000000 2.573999881744 4.480000019073
14 61.439998626709 2.571000099182 4.469999790192
15 61.619998931885 2.568000078201 4.460000038147
16 61.810001373291 2.565000057220 4.449999809265
17 71.300003051758 2.627000093460 4.489999771118
18 71.519996643066 2.624000072479 4.480000019073
19 80.830001831055 2.684999942780 4.519999980927
20 81.069999694824 2.681999921799 4.510000228882
21 81.309997558594 2.678999900818 4.500000000000
22 82.639999389648 2.687000036240 4.500000000000
23 86.239997863770 2.716000080109 4.530000209808
24 90.459999084473 2.740000009537 4.539999961853
25 90.730003356934 2.736999988556 4.519999980927
26 100.000000000000 2.795000076294 4.550000190735
