name,n,verdict,giantRatio,kappa_connect,isolated,isolatedFraction,tailDominance,runStatus
"randomwalk_955c8e204c9d_canonical.csv",414,FULL_PERCOLATION,1.000000,106.894824,0,0.000000,0.490032,COMPLETE
"randomwalk_965b4e1531e8_canonical.csv",252,FULL_PERCOLATION,1.000000,68.953506,0,0.000000,0.407655,COMPLETE
"randomwalk_3208fdd6988d_canonical.csv",888,FULL_PERCOLATION,1.000000,208.331750,0,0.000000,0.496668,COMPLETE
"randomwalk_3338ab0e75e4_canonical.csv",657,FULL_PERCOLATION,1.000000,194.657595,0,0.000000,0.508081,COMPLETE
"randomwalk_5302d7c2de4f_canonical.csv",550,FULL_PERCOLATION,1.000000,184.832176,0,0.000000,0.465911,COMPLETE
"randomwalk_6727c13ad301_canonical.csv",105,FULL_PERCOLATION,1.000000,10.000000,0,0.000000,0.103232,COMPLETE
"randomwalk_6729dc0f2c46_canonical.csv",720,FULL_PERCOLATION,1.000000,223.557141,0,0.000000,0.364213,COMPLETE
"randomwalk_9010d294fb18_canonical.csv",283,FULL_PERCOLATION,1.000000,48.545503,0,0.000000,0.290759,COMPLETE
"randomwalk_26181dfc9ba4_canonical.csv",45,FULL_PERCOLATION,1.000000,10.000000,0,0.000000,0.211089,COMPLETE
"randomwalk_32466ffe638c_canonical.csv",686,FULL_PERCOLATION,1.000000,170.438858,0,0.000000,0.444434,COMPLETE
"randomwalk_33771cd4e91d_canonical.csv",938,FULL_PERCOLATION,1.000000,294.457943,0,0.000000,0.449656,COMPLETE
"randomwalk_72310a0b51c8_canonical.csv",996,FULL_PERCOLATION,1.000000,156.924547,0,0.000000,0.438011,COMPLETE
"randomwalk_83016ff57ae8_canonical.csv",114,FULL_PERCOLATION,1.000000,10.000000,0,0.000000,0.240270,COMPLETE
"randomwalk_123614bb44b5_canonical.csv",783,FULL_PERCOLATION,1.000000,283.619141,0,0.000000,0.479030,COMPLETE
"randomwalk_143608c7d350_canonical.csv",578,FULL_PERCOLATION,1.000000,170.325682,0,0.000000,0.501053,COMPLETE
"randomwalk_184506bddf54_canonical.csv",703,TAIL_FRAGMENTATION,0.981508,,5,0.007112,0.430325,COMPLETE
"randomwalk_304963ef2da0_canonical.csv",444,FULL_PERCOLATION,1.000000,81.148582,0,0.000000,0.395107,COMPLETE
"randomwalk_549299c50418_canonical.csv",208,FULL_PERCOLATION,1.000000,48.339884,0,0.000000,0.330852,COMPLETE
"randomwalk_5049731a1e7a_canonical.csv",806,FULL_PERCOLATION,1.000000,223.635762,0,0.000000,0.367420,COMPLETE
"randomwalk_20278703a968_canonical.csv",84,FULL_PERCOLATION,1.000000,10.000000,0,0.000000,0.348000,COMPLETE
"randomwalk_33177985d527_canonical.csv",657,FULL_PERCOLATION,1.000000,125.990227,0,0.000000,0.348428,COMPLETE
"randomwalk_067527380f60_canonical.csv",476,FULL_PERCOLATION,1.000000,136.762673,0,0.000000,0.352621,COMPLETE
"randomwalk_527806319924_canonical.csv",168,FULL_PERCOLATION,1.000000,10.000000,0,0.000000,0.336229,COMPLETE
"randomwalk_800815758444_canonical.csv",172,FULL_PERCOLATION,1.000000,49.835397,0,0.000000,0.399632,COMPLETE
"randomwalk_a2bae8b0658a_canonical.csv",796,FULL_PERCOLATION,1.000000,219.390164,0,0.000000,0.449301,COMPLETE
"randomwalk_a9ef99ac0624_canonical.csv",502,FULL_PERCOLATION,1.000000,89.541024,0,0.000000,0.426904,COMPLETE
"randomwalk_a77b8aa9bb6e_canonical.csv",509,FULL_PERCOLATION,1.000000,128.698932,0,0.000000,0.331364,COMPLETE
"randomwalk_aa7a1d64bb9b_canonical.csv",98,FULL_PERCOLATION,1.000000,5.379881,0,0.000000,0.426322,COMPLETE
"randomwalk_abf80efce6e1_canonical.csv",94,FULL_PERCOLATION,1.000000,10.000000,0,0.000000,0.304447,COMPLETE
"randomwalk_ad1b0dd0d93f_canonical.csv",348,FULL_PERCOLATION,1.000000,107.572007,0,0.000000,0.389002,COMPLETE
"randomwalk_aeb97c2f9be7_canonical.csv",568,FULL_PERCOLATION,1.000000,192.056674,0,0.000000,0.433378,COMPLETE
"randomwalk_af9364b1e974_canonical.csv",336,FULL_PERCOLATION,1.000000,107.236622,0,0.000000,0.404083,COMPLETE
