object_id,object_name,input_file,grid_file,vector_file,canonical_rows,grid_rows,alpha_min,alpha_max,alpha_points,valid_fraction,collapse_observed,collapse_onset_radius,status
A1_12M,12M_pre_supernova_single_profile,struc_perc_i\canonical_inputs\A1_12M_struc_perc_input.csv,alpha_application\grids\A1_12M_alpha_grid.csv,alpha_application\vectors\A1_12M_5d_vector.csv,64,1344,0.5,1.5,21,0.909226190476,yes,0.05,converted
A2_20M,20M_pre_supernova_single_profile,struc_perc_i\canonical_inputs\A2_20M_struc_perc_input.csv,alpha_application\grids\A2_20M_alpha_grid.csv,alpha_application\vectors\A2_20M_5d_vector.csv,64,1344,0.5,1.5,21,0.712797619048,yes,0.05,converted
